 ,RITZ,Triscuits,Bold N Baked,Bear Paws Crackers,Wheat Thins,Goldfish,Keebler Townhouse,Cheez It
1wk Aug 03 2019,1258813.00,875012.00,0.00,89276.00,491351.00,1373382.00,184247.00,0.00
1wk Aug 10 2019,1230229.00,855906.00,0.00,82741.00,479202.00,1245423.00,170985.00,0.00
1wk Aug 17 2019,1298216.00,784237.00,0.00,85912.00,438450.00,1326668.00,174143.00,0.00
1wk Aug 24 2019,1272258.00,798094.00,0.00,101414.00,441999.00,1620347.00,169435.00,0.00
1wk Aug 31 2019,1406901.00,810509.00,0.00,146937.00,468432.00,1911722.00,164559.00,0.00
1wk Sept 07 2019,1654253.00,875398.00,0.00,156918.00,521246.00,2152296.00,155767.00,0.00
1wk Sept 14 2019,1595127.00,897658.00,0.00,103986.00,519174.00,1824647.00,142164.00,0.00
1wk Sept 21 2019,1401437.00,840989.00,0.00,139751.00,494766.00,1787434.00,136356.00,0.00
1wk Sept 28 2019,1431979.00,807439.00,0.00,166448.00,479916.00,1546130.00,142323.00,0.00
1wk Oct 05 2019,1596703.00,853889.00,0.00,134366.00,491554.00,1635491.00,156255.00,0.00
1wk Oct 12 2019,1771049.00,1098271.00,0.00,116768.00,610564.00,1602715.00,176627.00,0.00
1wk Oct 19 2019,1589539.00,936111.00,0.00,112230.00,517556.00,1386212.00,144631.00,0.00
1wk Oct 26 2019,1358026.00,816580.00,0.00,121905.00,469995.00,1627126.00,149814.00,0.00
1wk Nov 02 2019,1455734.00,870151.00,0.00,96182.00,495105.00,1957622.00,142235.00,0.00
1wk Nov 09 2019,1635699.00,952024.00,0.00,88709.00,536834.00,1708879.00,150091.00,0.00
1wk Nov 16 2019,1581472.00,874301.00,0.00,90796.00,495601.00,1555503.00,148163.00,0.00
1wk Nov 23 2019,1949843.00,916092.00,0.00,84422.00,527610.00,1642799.00,159211.00,0.00
1wk Nov 30 2019,1729304.00,908370.00,0.00,88649.00,525585.00,1478944.00,163296.00,0.00
1wk Dec 07 2019,1937216.00,1089531.00,0.00,106674.00,595558.00,1469047.00,208569.00,0.00
1wk Dec 14 2019,1984408.00,1056886.00,0.00,80003.00,593683.00,1371215.00,233051.00,0.00
1wk Dec 21 2019,2204795.00,1299731.00,0.00,72472.00,705546.00,1338125.00,268345.00,215.00
1wk Dec 28 2019,1917049.00,1378753.00,343.00,45983.00,736943.00,815059.00,207968.00,2476.00
1wk Jan 04 2020,1258359.00,857393.00,5982.00,52024.00,467262.00,1018980.00,141616.00,62402.00
1wk Jan 11 2020,1382165.00,797195.00,28709.00,109106.00,455196.00,1834217.00,130268.00,152228.00
1wk Jan 18 2020,1240907.00,733999.00,41290.00,98026.00,419584.00,1717619.00,155151.00,340481.00
1wk Jan 25 2020,1344882.00,751175.00,51768.00,87944.00,439731.00,1782708.00,183789.00,551093.00
1wk Feb 01 2020,1555272.00,874490.00,50725.00,87301.00,492689.00,1586336.00,177038.00,565447.00
1wk Feb 08 2020,1495482.00,810665.00,53658.00,68904.00,448794.00,1624824.00,199088.00,441140.00
1wk Feb 15 2020,1466730.00,833161.00,65578.00,73296.00,450400.00,1575798.00,181443.00,350653.00
1wk Feb 22 2020,1397076.00,765482.00,68672.00,65711.00,429095.00,1653349.00,174042.00,308858.00
1wk Feb 29 2020,1499897.00,837749.00,67366.00,82686.00,471778.00,1659428.00,183185.00,280991.00
1wk Mar 07 2020,1755137.00,970679.00,75651.00,98942.00,534281.00,1854844.00,202044.00,306646.00
1wk Mar 14 2020,1982719.00,1149819.00,94051.00,85427.00,662080.00,2421050.00,252266.00,367214.00
1wk Mar 21 2020,2271854.00,1473290.00,100607.00,90144.00,822416.00,2406941.00,305120.00,477542.00
1wk Mar 28 2020,1680073.00,943571.00,66173.00,67523.00,535193.00,1564608.00,197126.00,317401.00
1wk Apr 04 2020,1768380.00,1015909.00,62254.00,60871.00,576818.00,1441939.00,202619.00,334292.00
1wk Apr 11 2020,1888553.00,1038443.00,65010.00,66358.00,573884.00,1440388.00,225809.00,370957.00
1wk Apr 18 2020,1683324.00,988325.00,59767.00,57344.00,532321.00,1255251.00,183028.00,346592.00
1wk Apr 25 2020,1550692.00,953252.00,66013.00,67087.00,519161.00,1405052.00,213868.00,401983.00
1wk May 02 2020,1721597.00,941647.00,89313.00,66655.00,519737.00,1397748.00,225085.00,405365.00
1wk May 09 2020,1598228.00,991293.00,117671.00,55395.00,518581.00,1397498.00,201507.00,366283.00
1wk May 16 2020,1509035.00,955751.00,110962.00,61427.00,484228.00,1331627.00,203607.00,392072.00
1wk May 23 2020,1565082.00,960202.00,103118.00,55469.00,489080.00,1288486.00,193359.00,414230.00
1wk May 30 2020,1445418.00,955536.00,100085.00,58031.00,501010.00,1312829.00,193309.00,413053.00
1wk June 06 2020,1484683.00,853743.00,96420.00,71694.00,437519.00,1386076.00,204949.00,437265.00
1wk June 13 2020,1388235.00,894844.00,86791.00,59883.00,445845.00,1500071.00,208283.00,438983.00
1wk June 20 2020,1585628.00,1074535.00,82215.00,52012.00,545980.00,1519617.00,214057.00,421700.00
